Id,SalePrice
1461,118951.27730511781
1462,175389.68516268142
1463,200922.47890929334
1464,205334.23783869727
1465,187864.32160399135
1466,182187.24326206592
1467,182207.24169656174
1468,173606.21583636926
1469,188319.05047626185
1470,122316.35315613626
1471,198073.2593117466
1472,96671.83448946591
1473,102115.09327841825
1474,148651.5794783663
1475,108534.14645416035
1476,369696.0417996194
1477,246363.78310772878
1478,280906.025525304
1479,276644.7570386431
1480,448553.592590883
1481,351828.4827956006
1482,209847.1805911915
1483,181446.59970668567
1484,163348.08654135332
1485,187416.72814980467
1486,206356.69713628586
1487,355493.3096091107
1488,236581.83384954484
1489,197349.6033433367
1490,248658.79706408828
1491,206274.0801198044
1492,97456.07186686194
1493,188057.98323331273
1494,313470.80137814966
1495,309456.4834800201
1496,244927.23400691847
1497,179530.3458208728
1498,164226.99826831365
1499,162721.3350496108
1500,156218.8095175454
1501,172644.56519646724
1502,152160.4487492335
1503,314352.0174955733
1504,250828.3465510055
1505,237466.32330000954
1506,180805.1093700527
1507,273674.4809098432
1508,224387.34486376357
1509,162837.4788102481
1510,151520.28202743415
1511,154055.7404515621
1512,171668.79826667733
1513,152771.64064017028
1514,157067.88699735963
1515,194870.46966095018
1516,154337.04207222548
1517,176534.62088617875
1518,129155.81408390435
1519,233839.77929232345
1520,139189.90306397466
1521,150164.29488547868
1522,174978.82371657557
1523,110322.46078899686
1524,119088.37649257042
1525,125228.67429394195
1526,124562.14134550153
1527,102978.49373605532
1528,135558.84311481292
1529,149492.2244828449
1530,174717.21797224192
1531,115595.17499927075
1532,98844.32221062353
1533,152304.38064137954
1534,122828.40211776424
1535,168263.0982573672
1536,111278.37970562266
1537,90152.52624477303
1538,149332.93364339278
1539,184712.53792928878
1540,113709.63679880039
1541,130095.31506581425
1542,133957.41240411717
1543,203962.80383373116
1544,81306.13754144004
1545,107435.18189145337
1546,130886.90570538978
1547,121636.03814797485
1548,120350.16063797998
1549,101911.36001178765
1550,149102.4861149764
1551,117905.83768893637
1552,149204.22890444813
1553,150690.96571945617
1554,111452.51778268752
1555,178542.1642981201
1556,111323.8909229389
1557,115697.40775005854
1558,97782.9509628956
1559,101552.26777242828
1560,130931.14398968671
1561,155978.64923509557
1562,137533.6915162663
1563,124298.26373837556
1564,167356.0928743932
1565,154481.65367228756
1566,259395.30650462024
1567,78250.04182646348
1568,251170.3823146626
1569,168961.77450979062
1570,145977.33323726617
1571,118294.65341187615
1572,150828.530178361
1573,252504.63304755694
1574,138278.53024834604
1575,249564.62897452005
1576,225561.40007651676
1577,192578.24797323727
1578,145977.98109013902
1579,162767.45495106082
1580,201884.24462224357
1581,159914.03901990032
1582,129709.15556171782
1583,344600.50855608843
1584,233681.926736601
1585,144065.91962922574
1586,71443.8508297619
1587,100868.2729978991
1588,170028.2606408463
1589,103741.33388201853
1590,131880.8042604471
1591,91836.52121398531
1592,122547.2409872829
1593,128028.85122004313
1594,122390.02415981809
1595,134220.1944469065
1596,253438.77772455092
1597,172312.86953654984
1598,184929.2644643359
1599,166682.0841302758
1600,168825.18790726078
1601,78386.96433113946
1602,114410.95617438115
1603,79449.0585228643
1604,264476.53488359443
1605,269875.7797148793
1606,172746.63026991673
1607,152948.29783675508
1608,216266.47388592575
1609,191797.05059624923
1610,160767.9476755891
1611,141077.68549970145
1612,175353.7562190434
1613,170405.46115946167
1614,132142.80016931554
1615,86313.9083780435
1616,82831.50972592235
1617,88071.92642126523
1618,118008.89394091842
1619,145503.45304384673
1620,165518.36255286867
1621,144746.28631950179
1622,160061.36625713028
1623,311659.994019017
1624,233838.78480163222
1625,122201.7678599834
1626,171727.98236006955
1627,202208.4436791212
1628,326602.39006728516
1629,180311.73829585113
1630,344063.34381334414
1631,206126.16144081124
1632,240676.7657339688
1633,176650.35823895008
1634,193784.13685921577
